SensorID,Value,Timestamp
15,19.90,1735291982
15,20.13,1735291983
21,19.77,1735291984
15,20.34,1735291984
15,20.57,1735291985
15,20.81,1735291986
37,20.14,1735291986
15,20.74,1735291987
21,19.70,1735291987
37,20.28,1735291988
15,20.97,1735291988
15,21.00,1735291989
37,20.46,1735291990
21,19.65,1735291990
15,20.79,1735291990
15,20.58,1735291991
37,20.63,1735291992
15,20.43,1735291992
21,19.85,1735291993
15,20.37,1735291993
37,20.84,1735291994
15,20.47,1735291994
15,20.48,1735291995
37,20.71,1735291996
21,20.08,1735291996
15,20.37,1735291996
